x_id,delta_min,delta_max
0x7f9a0ff1bf10,0.2452765256166458,0.2452765256166458
0x7f9a0ff1bb50,0.05799329653382301,0.05799329653382301
0x7f9a0ff592b0,0.2452765256166458,0.2452765256166458
0x7f9a310bb6a0,0.05799329653382301,0.05799329653382301
0x7f9a0fea4040,0.24527433514595032,0.2452753335237503
0x7f9a0ff59df0,0.0579909011721611,0.05799151211977005
0x7f9a0ff5aca0,0.24527433514595032,0.2452753335237503
0x7f9a0ff5a5c0,0.0579909011721611,0.05799151211977005
0x7f9a0f70b560,0.24527332186698914,0.24527530372142792
0x7f9a0ff59ee0,0.05798933655023575,0.057990554720163345
0x7f9a0ff59350,0.24527332186698914,0.24527530372142792
0x7f9a0ff5b380,0.05798933655023575,0.057990554720163345
0x7f9a0f946c50,0.2452724277973175,0.2452753782272339
0x7f9a0ff5b010,0.2452724277973175,0.2452753782272339
0x7f9a0ff5b6a0,0.057988088577985764,0.05798990651965141
0x7f9a0f963510,0.24527141451835632,0.2452753186225891
0x7f9a0ff59f30,0.24527141451835632,0.2452753186225891
0x7f9a0ff5b9c0,0.057986773550510406,0.057989198714494705
0x7f9a0ff1b600,0.24527029693126678,0.24527518451213837
0x7f9a3112a110,0.05798562616109848,0.05798865854740143
0x7f9a0ff5b740,0.24527029693126678,0.24527518451213837
0x7f9a0ff59c60,0.05798439681529999,0.057988036423921585
0x7f9a0ff5b1a0,0.24526946246623993,0.2452753335237503
0x7f9a0ff5ad90,0.2452685683965683,0.24527540802955627
0x7f9a0ff5b790,0.05798326060175896,0.057987507432699203
0x7f9a3112b790,0.057982172816991806,0.0579870231449604
0x7f9a0ff59580,0.24526765942573547,0.24527545273303986
0x7f9a0ff1bd30,0.24526682496070862,0.2452755719423294
0x7f9a0ff5b880,0.05798111855983734,0.05798657238483429
0x7f9a0ff5a2f0,0.05798020586371422,0.057986266911029816
0x7f9a0ff5b920,0.24526521563529968,0.24527586996555328
0x7f9a0ff1bd80,0.05797840282320976,0.05798567458987236
0x7f9a32f940e0,0.24526347219944,0.24527598917484283
0x7f9a0ff595d0,0.05797753483057022,0.05798541381955147
0x7f9a0fea42c0,0.24526271224021912,0.24527615308761597
0x7f9a0ff5a1b0,0.05797669291496277,0.057985179126262665
0x7f9a0ff5b2e0,0.24526207149028778,0.24527646601200104
0x7f9a0ff5bf10,0.05797581002116203,0.05798489972949028
0x7f9a96e69210,0.24526138603687286,0.24527673423290253
0x7f9a0f96bb50,0.0579749159514904,0.0579846128821373
0x7f9a310bb7e0,0.0579749159514904,0.0579846128821373
0x7f9a31129e40,0.24526068568229675,0.24527698755264282
0x7f9a0ff5bd30,0.05797402933239937,0.057984329760074615
0x7f9a0ff5bb50,0.24526003003120422,0.2452772855758667
0x7f9a0ff1bab0,0.05797233060002327,0.05798384174704552
0x7f9a2015bd30,0.2452569305896759,0.24527794122695923
0x7f9a0f794360,0.05796976014971733,0.05798308923840523
0x7f9a0fea4b30,0.24525606632232666,0.245278000831604
0x7f9a0ff5d670,0.05796891450881958,0.057982854545116425
0x7f9a0fbab790,0.05796803906559944,0.05798258259892464
0x7f9a0ff5b7e0,0.24525436758995056,0.24527816474437714
0x7f9a0ff5d710,0.05796720087528229,0.05798235163092613
0x7f9a0ff5ca90,0.057965561747550964,0.057981930673122406
0x7f9a0ff5bab0,0.0579647533595562,0.05798173323273659
0x7f9a0ff5cb30,0.24525201320648193,0.24527859687805176
0x7f9a0ff5de40,0.0579647533595562,0.05798173323273659
0x7f9a0ff5c0e0,0.24525117874145508,0.24527868628501892
0x7f9a3112a1b0,0.05796308070421219,0.057981278747320175
0x7f9a0ff5dee0,0.24525025486946106,0.24527867138385773
0x7f9a0ff5e2a0,0.05796308070421219,0.057981278747320175
0x7f9a0fcd4b30,0.05796222761273384,0.05798103287816048
0x7f9a0ff5e750,0.05796058103442192,0.05798060819506645
0x7f9a0fa4bd80,0.24524590373039246,0.24527885019779205
0x7f9a0ff5e980,0.057958971709012985,0.057980217039585114
0x7f9a0fea4360,0.24524512887001038,0.2452789843082428
0x7f9a0ff5eca0,0.05795736238360405,0.057979825884103775
0x7f9a0fb43ab0,0.05795660242438316,0.05797967687249184
0x7f9a0ff5e5c0,0.05795586109161377,0.05797954276204109
0x7f9a0ff5efc0,0.05795586109161377,0.05797954276204109
0x7f9a0ff5e840,0.24524211883544922,0.24527959525585175
0x7f9a0ff5f0b0,0.05795513838529587,0.05797943100333214
0x7f9a0ff5bd80,0.24524137377738953,0.24527975916862488
0x7f9a0ff5f1a0,0.057954419404268265,0.057979315519332886
0x7f9a0ff5dd50,0.24524059891700745,0.24527989327907562
0x7f9a0ff5f1f0,0.057952918112277985,0.057979028671979904
0x7f9a0f9021b0,0.2452390342950821,0.24528013169765472
0x7f9a0ff5dd00,0.057952120900154114,0.057978834956884384
0x7f9a96ebe5c0,0.24523824453353882,0.24528025090694427
0x7f9a0ff5ee80,0.05795050412416458,0.05797842890024185
0x7f9a0ff5f560,0.24523749947547913,0.2452804148197174
0x7f9a0ff5f920,0.05794975534081459,0.05797828733921051
0x7f9a311281d0,0.24523603916168213,0.24528077244758606
0x7f9a0ff5fba0,0.05794822424650192,0.05797796696424484
0x7f9a0ff5fd80,0.05794743821024895,0.05797778442502022
0x7f9a0ff5fdd0,0.24523276090621948,0.24528110027313232
0x7f9a0ff5f510,0.05794582888484001,0.05797738954424858
0x7f9a0ff5c130,0.057944998145103455,0.05797716602683067
0x7f9a0ff5ffb0,0.05794338881969452,0.05797676369547844
0x7f9a0f73c0e0,0.2452295869588852,0.24528153240680695
0x7f9a0ff5e700,0.2452288419008255,0.24528168141841888
0x7f9a0ff5c3b0,0.05794178694486618,0.0579763762652874
0x7f9a0ff5fb00,0.057941026985645294,0.05797622352838516
0x7f9a96ebf010,0.24522727727890015,0.2452818751335144
0x7f9a0ff5c270,0.05794031172990799,0.05797611176967621
0x7f9a0ff5c040,0.05794031172990799,0.05797611176967621
0x7f9a0ff5c1d0,0.05793961137533188,0.05797601491212845
0x7f9a0ff5ff10,0.24522513151168823,0.24528244137763977
0x7f9a0ff5c400,0.057936958968639374,0.05797578766942024
0x7f9a0ff5c900,0.057936299592256546,0.057975731790065765
0x7f9a0ff5c630,0.05793564021587372,0.05797567963600159
0x7f9a0ff5c9a0,0.057934992015361786,0.057975638657808304
0x7f9a0fea46d0,0.24522097408771515,0.24528372287750244
0x7f9a0ff5cae0,0.05793435126543045,0.05797560513019562
0x7f9a0ff5fa60,0.05793369933962822,0.05797555670142174
0x7f9a0ff5c8b0,0.24522030353546143,0.24528396129608154
0x7f9a0ff5c450,0.24521838128566742,0.24528475105762482
0x7f9a0ff5c590,0.2452171891927719,0.24528537690639496
0x7f9a0fea4860,0.24521654844284058,0.24528564512729645
0x7f9a0ff5ce00,0.05793018639087677,0.05797567963600159
0x7f9a0ff5cb80,0.05792955309152603,0.0579756498336792
0x7f9a0ff5f2e0,0.24521595239639282,0.24528592824935913
0x7f9a0ff5cd10,0.0579289048910141,0.057975608855485916
0x7f9a0fb146d0,0.24521473050117493,0.24528653919696808
0x7f9a0fbb01d0,0.05792826786637306,0.05797557532787323
0x7f9a0ff5cc20,0.057927653193473816,0.05797556787729263
0x7f9a0ff5cfe0,0.05792643129825592,0.05797555670142174
0x7f9a0ff5d030,0.05792577192187309,0.05797550082206726
0x7f9a0ff5c360,0.05792511627078056,0.05797545239329338
0x7f9a0ff5c860,0.05792446434497833,0.0579754076898098
0x7f9a0f794d60,0.24521037936210632,0.24528943002223969
0x7f9a0fea47c0,0.24521037936210632,0.24528943002223969
0x7f9a0ff5d260,0.05792321264743805,0.057975366711616516
0x7f9a0fea49a0,0.2452092468738556,0.2452901154756546
0x7f9a0ff5cdb0,0.057921990752220154,0.05797535553574562
0x7f9a0ff5d490,0.057921409606933594,0.05797538161277771
0x7f9a0ff5d080,0.057920802384614944,0.05797538161277771
0x7f9a0ff5d170,0.24520817399024963,0.2452908456325531
0x7f9a0ff5c5e0,0.05791893228888512,0.05797532573342323
0x7f9a0ff5d300,0.24520590901374817,0.24529221653938293
0x7f9a0ff5d440,0.05791758745908737,0.05797519534826279
0x7f9a0f7549a0,0.24520349502563477,0.24529342353343964
0x7f9a0ff5d5d0,0.05791550129652023,0.0579749196767807
0x7f9a0f8dd620,0.24520179629325867,0.245294451713562
0x7f9a0ff5d760,0.24520179629325867,0.245294451713562
0x7f9a0ff5d7b0,0.057910531759262085,0.0579741932451725
0x7f9a0ff5dad0,0.05790906772017479,0.057973939925432205
0x7f9a0ff5d580,0.057907622307538986,0.0579737089574337
0x7f9a0ff658f0,0.24519672989845276,0.2452966272830963
0x7f9a0fb6d490,0.245196133852005,0.2452969253063202
0x7f9a0ff5dda0,0.05790622532367706,0.05797352269291878
0x7f9a0fcd5580,0.2451949119567871,0.24529752135276794
0x7f9a0ff5ddf0,0.057905521243810654,0.05797342211008072
0x7f9a0ff5df30,0.24519427120685577,0.24529777467250824
0x7f9a0ff5df80,0.057904161512851715,0.05797328054904938
0x7f9a0ff5dfd0,0.2451930046081543,0.2452983260154724
0x7f9a0ff5e0c0,0.0579034760594368,0.05797319486737251
0x7f9a0ff5d6c0,0.24519231915473938,0.24529853463172913
0x7f9a0ff5e160,0.24519167840480804,0.245298832654953
0x7f9a0fbdcdb0,0.2451910674571991,0.24529916048049927
0x7f9a0f963f10,0.24518923461437225,0.24530011415481567
0x7f9a0ff5e480,0.0578995943069458,0.057972948998212814
0x7f9a0fa348b0,0.2451886236667633,0.24530042707920074
0x7f9a0ff5e6b0,0.24518802762031555,0.245300754904747
0x7f9a0ff5c680,0.05789824202656746,0.05797280743718147
0x7f9a0fdcda80,0.2451874017715454,0.24530106782913208
0x7f9a0ff5dc10,0.24518613517284393,0.24530166387557983
0x7f9a0f795760,0.24518552422523499,0.2453019917011261
0x7f9a0ff5d800,0.0578954815864563,0.05797247216105461
0x7f9a0ff5e340,0.05789411440491676,0.05797231197357178
0x7f9a0ff5e200,0.0578913614153862,0.057971980422735214
0x7f9a0ff5eac0,0.05789067596197128,0.05797190219163895
0x7f9a0ff5e7f0,0.24518153071403503,0.24530455470085144
0x7f9a0ff5ec00,0.057889945805072784,0.0579717792570591
0x7f9a0fbd5b70,0.24518033862113953,0.24530526995658875
0x7f9a0ff5eb60,0.24517841637134552,0.24530620872974396
0x7f9a0ff5ed90,0.057885780930519104,0.057971250265836716
0x7f9a0f88e3e0,0.24517665803432465,0.2453073114156723
0x7f9a0ff5ed40,0.05788511782884598,0.05797119066119194
0x7f9a0faee930,0.24517545104026794,0.24530798196792603
0x7f9a0ff5da80,0.24517545104026794,0.24530798196792603
0x7f9a3112afc0,0.05788303166627884,0.05797092244029045
0x7f9a0fb25df0,0.24517373740673065,0.24530906975269318
0x7f9a0ff5ef70,0.05788169428706169,0.0579707957804203
0x7f9a0ff67560,0.05788034200668335,0.057970646768808365
0x7f9a0ff5f330,0.24517188966274261,0.2453100085258484
0x7f9a0ff665c0,0.2451711893081665,0.2453102469444275
0x7f9a0fbd6f70,0.2451705038547516,0.2453104853630066
0x7f9a0ff5eb10,0.2451705038547516,0.2453104853630066
0x7f9a0ff5f6a0,0.05787830427289009,0.05797042325139046
0x7f9a0ff5f600,0.05787760764360428,0.0579703226685524
0x7f9a0ff675b0,0.05787475034594536,0.05796987563371658
0x7f9a0ff5f380,0.05787252262234688,0.057969458401203156
0x7f9a0ff5f3d0,0.05787180736660957,0.0579693466424942
0x7f9a0ff67b00,0.05787180736660957,0.0579693466424942
0x7f9a0f88f7e0,0.2451634407043457,0.24531269073486328
0x7f9a0feffb50,0.2451634407043457,0.24531269073486328
0x7f9a0ff656c0,0.05787041410803795,0.05796915292739868
0x7f9a0ff67ab0,0.05787041410803795,0.05796915292739868
0x7f9a0fe3f470,0.2451622188091278,0.2453133463859558
